full_name,age,birthday,birthday_GMT,league,season,position,Current_Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Fernando Llorente Torres,36,478224000,2/26/1985,Premier League,2016/2017,Forward,Swansea City,2451,1105,1346,Spain,33,16,17,15,11,4,1,1,0,0,0,7,5,2,48,23,25,2,0,0.59,0.04,0.55,0.9,0.27,163,1.76,51,74,1226,2451,0.07,13,225,-1,1
Fernando Luiz Rosa,36,484012800,5/4/1985,Premier League,2016/2017,Midfielder,Manchester City,2755,1292,1463,Brazil,32,15,17,2,1,1,1,0,1,0,0,11,4,7,24,10,14,6,2,0.1,0.03,0.07,0.07,0.06,1378,0.78,115,86,344,2755,0.26,185,240,-1,12
Filip Lesniak,25,832032000,5/14/1996,Premier League,2016/2017,Midfielder,Tottenham Hotspur,4,0,4,Slovakia,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,22.5,22.5,0,0,0,0,0,0,4,0,4,0,-1,-1,-1,23
Florin Gardoş,33,594086400,10/29/1988,Premier League,2016/2017,Defender,Southampton,0,0,0,Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Fraizer Campbell,34,558489600,9/13/1987,Premier League,2016/2017,Forward,Crystal Palace,153,90,63,England,12,6,6,1,0,1,0,0,0,0,0,0,0,0,4,3,1,0,0,0.59,0,0.59,0,1.43,153,2.35,38,13,0,0,0,-1,-1,-1,12
Francis Coquelin,30,674092800,5/13/1991,Premier League,2016/2017,Midfielder,Arsenal,1785,956,829,France,29,16,13,0,0,0,0,0,0,0,0,9,7,2,26,11,15,5,0,0,0,0,0,0,0,1.31,69,62,357,0,0.25,377,379,-1,25
Fraser Forster,33,574560000,3/17/1988,Premier League,2016/2017,Goalkeeper,Southampton,3420,1710,1710,England,38,19,19,0,0,0,0,0,0,0,0,14,8,6,46,21,25,3,0,0,0,0,0,0,0,1.21,74,90,1140,0,0.08,360,366,64,17
Freddie Ladapo,28,728524800,2/1/1993,Premier League,2016/2017,Forward,Crystal Palace,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Fredrik Ulvestad,29,708739200,6/17/1992,Premier League,2016/2017,Midfielder,Burnley,0,0,0,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Gabriel Jesus,24,860025600,4/3/1997,Premier League,2016/2017,Forward,Manchester City,651,366,285,Brazil,10,6,4,7,4,3,4,2,2,1,0,5,2,3,5,3,2,2,0,1.52,0.55,0.97,0.98,0.95,93,0.69,130,65,326,163,0.28,2,7,-1,2
Gabriel Paulista,31,659577600,11/26/1990,Premier League,2016/2017,Defender,Arsenal,1515,801,714,Brazil,19,10,9,0,0,0,0,0,0,0,0,5,4,1,17,4,13,6,0,0,0,0,0,0,0,1.01,89,80,253,0,0.36,302,279,43,21
Gaël Clichy,36,491184000,7/26/1985,Premier League,2016/2017,Defender,Manchester City,2125,1355,770,France,25,16,9,1,1,0,0,0,0,0,0,8,4,4,21,12,9,2,0,0.04,0,0.04,0.07,0,2125,0.89,101,85,1063,0,0.08,238,409,30,17
Gareth Barry,40,351734400,2/23/1981,Premier League,2016/2017,Midfielder,Everton,2110,923,1187,England,33,15,18,2,1,1,1,0,1,0,0,12,7,5,24,6,18,10,0,0.13,0.04,0.09,0.1,0.08,1055,1.02,88,64,211,2110,0.43,169,220,-1,8
Gareth McAuley,42,313200000,12/5/1979,Premier League,2016/2017,Defender,West Bromwich Albion,3143,1647,1496,Northern Ireland,36,19,17,6,3,3,1,1,0,0,0,6,4,2,44,20,24,5,0,0.2,0.03,0.17,0.16,0.18,524,1.26,71,87,629,3143,0.14,111,231,71,2
Gary Cahill,36,503798400,12/19/1985,Premier League,2016/2017,Defender,Chelsea,3296,1586,1710,England,37,18,19,6,4,2,0,0,0,0,0,16,8,8,26,11,15,5,0,0.16,0,0.16,0.23,0.11,549,0.71,127,89,659,0,0.14,116,385,18,6
Gastón Ramírez,31,660096000,12/2/1990,Premier League,2016/2017,Midfielder,Middlesbrough,1550,821,729,Uruguay,24,12,12,2,2,0,3,2,1,0,0,8,5,3,20,8,12,10,1,0.29,0.17,0.12,0.22,0,775,1.16,78,65,155,517,0.58,144,77,-1,4
Geoff Cameron,36,489888000,7/11/1985,Premier League,2016/2017,Defender,Stoke City,1628,810,818,USA,19,9,10,0,0,0,1,0,1,0,0,6,3,3,24,13,11,1,0,0.06,0.06,0,0,0,0,1.33,68,86,1628,1628,0.06,359,202,82,20
George Boyd,36,497059200,10/2/1985,Premier League,2016/2017,Midfielder,Burnley,2845,1414,1431,Scotland,36,17,19,2,2,0,1,0,1,0,0,10,6,4,40,12,28,3,0,0.09,0.03,0.06,0.13,0,1423,1.27,71,79,948,2845,0.09,208,239,-1,5
George Friend,34,561427200,10/17/1987,Premier League,2016/2017,Defender,Middlesbrough,1960,967,993,England,24,12,12,0,0,0,2,1,1,0,0,6,4,2,34,14,20,4,0,0.09,0.09,0,0,0,0,1.56,58,82,490,980,0.18,350,158,123,25
George Honeyman,27,778982400,9/8/1994,Premier League,2016/2017,Midfielder,Sunderland,233,53,180,England,5,2,3,0,0,0,0,0,0,0,0,2,1,1,4,1,3,1,0,0,0,0,0,0,0,1.55,58,47,233,0,0.39,-1,-1,-1,13
Georges-Kevin N'Koudou Mbida,26,792633600,2/13/1995,Premier League,2016/2017,Forward,Tottenham Hotspur,46,11,35,France,8,3,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,-1,-1,-1,16
Georginio Wijnaldum,31,658281600,11/11/1990,Premier League,2016/2017,Midfielder,Liverpool,2978,1461,1517,Netherlands,36,18,18,6,6,0,9,5,4,0,0,11,5,6,36,18,18,2,0,0.45,0.27,0.18,0.37,0,496,1.09,83,83,1489,331,0.06,105,28,-1,7
Gerard Deulofeu,27,763516800,3/13/1994,Premier League,2016/2017,Forward,Everton,456,135,321,Spain,11,4,7,0,0,0,0,0,0,0,0,1,0,1,5,1,4,1,0,0,0,0,0,0,0,0.99,91,41,456,0,0.2,329,335,-1,22
Gerhard Tremmel,43,280022400,11/16/1978,Premier League,2016/2017,Goalkeeper,Swansea City,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Giannelli Imbula,29,716256000,9/12/1992,Premier League,2016/2017,Midfielder,Stoke City,796,325,471,Congo DR,12,5,7,0,0,0,0,0,0,0,0,3,1,2,19,8,11,1,0,0,0,0,0,0,0,2.15,42,66,796,0,0.11,358,363,-1,22
Giedrius Arlauskis,34,565315200,12/1/1987,Premier League,2016/2017,Goalkeeper,Watford,0,0,0,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Glen Johnson,37,462067200,8/23/1984,Premier League,2016/2017,Defender,Stoke City,1955,1055,900,England,23,13,10,0,0,0,0,0,0,0,0,7,6,1,32,9,23,1,0,0,0,0,0,0,0,1.47,61,85,1955,0,0.05,290,276,109,15
Glenn Whelan,37,442800000,1/13/1984,Premier League,2016/2017,Midfielder,Stoke City,2278,1168,1110,Republic of Ireland,30,16,14,0,0,0,1,1,0,0,0,10,7,3,37,16,21,5,0,0.04,0.04,0,0,0,0,1.46,62,76,456,2278,0.2,357,222,-1,23
Glyn Oliver Myhill,39,405648000,11/9/1982,Premier League,2016/2017,Goalkeeper,West Bromwich Albion,0,0,0,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Gnégnéri Yaya Touré,38,421632000,5/13/1983,Premier League,2016/2017,Midfielder,Manchester City,1946,1030,916,Côte d'Ivoire,25,13,12,5,1,4,0,0,0,2,0,10,4,6,15,7,8,4,0,0.23,0,0.23,0.09,0.39,389,0.69,130,78,487,0,0.18,81,294,-1,5
Gökhan Töre,29,695865600,1/20/1992,Premier League,2016/2017,Midfielder,West Ham United,241,140,101,Turkey,5,3,2,0,0,0,1,1,0,0,0,1,1,0,4,0,4,0,0,0.37,0.37,0,0,0,0,1.49,60,48,0,241,0,-1,-1,-1,16
Granit Xhaka,29,717552000,9/27/1992,Premier League,2016/2017,Midfielder,Arsenal,2486,1164,1322,Switzerland,32,15,17,2,1,1,2,0,2,0,0,11,7,4,30,8,22,7,2,0.14,0.07,0.07,0.08,0.07,1243,1.09,83,78,276,1243,0.33,189,177,-1,8
Grant Leadbitter,36,505440000,1/7/1986,Premier League,2016/2017,Midfielder,Middlesbrough,707,340,367,England,13,8,5,1,0,1,0,0,0,0,0,4,3,1,12,6,6,1,0,0.13,0,0.13,0,0.25,707,1.53,59,54,707,0,0.13,137,310,-1,7
Greg Luer,27,786672000,12/6/1994,Premier League,2016/2017,Forward,Hull City,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Greg Olley,25,823219200,2/2/1996,Premier League,2016/2017,Midfielder,Hull City,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Gylfi Sigurdsson,32,621216000,9/8/1989,Premier League,2016/2017,Midfielder,Swansea City,3328,1709,1619,Iceland,38,19,19,9,4,5,13,8,5,3,0,8,6,2,64,30,34,2,0,0.59,0.35,0.24,0.21,0.28,370,1.73,52,88,1664,256,0.05,76,15,-1,2
Hal Robson-Kanu,32,611712000,5/21/1989,Premier League,2016/2017,Forward,West Bromwich Albion,681,210,471,Wales,29,13,16,3,1,2,2,0,2,0,0,4,3,1,12,2,10,3,0,0.66,0.26,0.4,0.43,0.38,227,1.59,57,23,227,341,0.4,35,31,-1,7
Harrison Reed,26,791164800,1/27/1995,Premier League,2016/2017,Midfielder,Southampton,63,12,51,England,3,1,2,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1.43,63,21,0,0,0,-1,-1,-1,19
Harry Arter,32,630806400,12/28/1989,Premier League,2016/2017,Midfielder,AFC Bournemouth,2959,1439,1520,Republic of Ireland,35,17,18,1,0,1,4,2,2,0,1,9,5,4,54,23,31,13,1,0.15,0.12,0.03,0,0.06,2959,1.64,55,85,228,740,0.4,248,125,-1,11
Harry Kane,28,743817600,7/28/1993,Premier League,2016/2017,Forward,Tottenham Hotspur,2536,1335,1201,England,30,16,14,29,17,12,7,3,4,5,1,14,11,3,19,6,13,3,0,1.28,0.25,1.03,1.15,0.9,87,0.67,133,85,845,362,0.11,1,38,-1,1
Harry Lewis,24,882576000,12/20/1997,Premier League,2016/2017,Goalkeeper,Southampton,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Harry Maguire,28,731289600,3/5/1993,Premier League,2016/2017,Defender,Hull City,2306,1132,1174,England,29,15,14,2,1,1,2,1,1,0,0,4,2,2,44,16,28,5,0,0.16,0.08,0.08,0.08,0.08,1153,1.72,52,80,461,1153,0.2,180,166,146,5
Harry Wilson,24,858988800,3/22/1997,Premier League,2016/2017,Midfielder,Liverpool,0,0,0,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Harry Winks,25,823219200,2/2/1996,Premier League,2016/2017,Midfielder,Tottenham Hotspur,476,294,182,England,21,12,9,1,1,0,1,1,0,0,0,7,6,1,4,4,0,1,0,0.38,0.19,0.19,0.31,0,476,0.76,119,23,476,476,0.19,97,67,-1,13
Håvard Nordtveit,31,645926400,6/21/1990,Premier League,2016/2017,Midfielder,West Ham United,955,422,533,Norway,16,7,9,0,0,0,1,0,1,0,0,6,4,2,18,8,10,2,0,0.09,0.09,0,0,0,0,1.7,53,60,478,955,0.19,389,153,-1,21
Hector Bellerin,26,795571200,3/19/1995,Premier League,2016/2017,Defender,Arsenal,2498,1332,1166,Spain,33,17,16,1,1,0,4,2,2,0,0,12,9,3,32,12,20,4,0,0.18,0.14,0.04,0.07,0,2498,1.15,78,76,625,625,0.14,226,97,57,14
Henrikh Mkhitaryan,32,601344000,1/21/1989,Premier League,2016/2017,Midfielder,Manchester United,1350,638,712,Armenia,24,12,12,4,2,2,1,0,1,0,0,12,5,7,7,4,3,1,0,0.33,0.07,0.27,0.28,0.25,338,0.47,193,56,1350,1350,0.07,61,185,-1,6
Heung-Min Son,29,710553600,7/8/1992,Premier League,2016/2017,Forward,Tottenham Hotspur,2066,881,1185,South Korea,34,16,18,14,4,10,6,3,3,0,0,16,11,5,17,3,14,2,0,0.87,0.26,0.61,0.41,0.76,148,0.74,122,61,1033,344,0.09,9,35,-1,3
Heurelho da Silva Gomes,40,351043200,2/15/1981,Premier League,2016/2017,Goalkeeper,Watford,3339,1686,1653,Brazil,38,19,19,0,0,0,0,0,0,0,0,7,5,2,62,29,33,1,0,0,0,0,0,0,0,1.67,54,88,3339,0,0.03,353,318,142,16
Hiram Boateng,26,821059200,1/8/1996,Premier League,2016/2017,Midfielder,Crystal Palace,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Hugo Lloris,35,535939200,12/26/1986,Premier League,2016/2017,Goalkeeper,Tottenham Hotspur,3005,1530,1475,France,34,17,17,0,0,0,0,0,0,0,0,15,11,4,22,7,15,0,0,0,0,0,0,0,0,0.66,137,88,0,0,0,334,337,12,17
Ibrahim Afellay,35,512784000,4/2/1986,Premier League,2016/2017,Midfielder,Stoke City,377,153,224,Netherlands,12,5,7,0,0,0,0,0,0,0,0,4,3,1,4,1,3,0,0,0,0,0,0,0,0,0.95,94,31,0,0,0,263,290,-1,16
Idrissa Gana Gueye,32,622771200,9/26/1989,Premier League,2016/2017,Midfielder,Everton,2688,1415,1273,Senegal,33,17,16,1,1,0,1,0,1,0,0,11,7,4,28,11,17,11,0,0.07,0.03,0.03,0.06,0,2688,0.94,96,81,244,2688,0.37,251,238,-1,11
Ikechi Anya,34,568166400,1/3/1988,Premier League,2016/2017,Midfielder,Watford,9,0,9,Scotland,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,-1,-1,-1,26
İlkay Gündoğan,31,656726400,10/24/1990,Premier League,2016/2017,Midfielder,Manchester City,710,447,263,Germany,10,6,4,3,1,2,1,0,1,0,0,3,2,1,8,4,4,0,0,0.51,0.13,0.38,0.2,0.68,237,1.01,89,71,0,710,0,36,112,-1,11
Isaac Ajayi Success,26,820972800,1/7/1996,Premier League,2016/2017,Forward,Watford,503,147,356,Nigeria,19,9,10,1,1,0,1,1,0,0,0,3,2,1,9,3,6,2,0,0.36,0.18,0.18,0.61,0,503,1.61,56,26,252,503,0.36,102,73,-1,15
Islam Slimani,33,582595200,6/18/1988,Premier League,2016/2017,Forward,Leicester City,1278,814,464,Algeria,23,14,9,7,6,1,4,4,0,1,0,6,6,0,21,8,13,1,0,0.77,0.28,0.49,0.66,0.19,183,1.48,61,56,1278,320,0.07,19,25,-1,2
Jack Butland,28,731721600,3/10/1993,Premier League,2016/2017,Goalkeeper,Stoke City,450,180,270,England,5,2,3,0,0,0,0,0,0,0,0,2,1,1,8,4,4,0,0,0,0,0,0,0,0,1.6,56,90,0,0,0,424,424,131,26
Jack Cork,32,614736000,6/25/1989,Premier League,2016/2017,Midfielder,Swansea City,2233,1085,1148,England,30,14,16,0,0,0,0,0,0,0,0,5,3,2,45,22,23,7,0,0,0,0,0,0,0,1.81,50,74,319,0,0.28,321,329,-1,20
Jack Rodwell,30,668649600,3/11/1991,Premier League,2016/2017,Midfielder,Sunderland,1493,734,759,England,20,10,10,0,0,0,1,0,1,0,0,3,2,1,29,16,13,4,0,0.06,0.06,0,0,0,0,1.75,51,75,373,1493,0.24,415,197,-1,26
Jack Rose,26,791510400,1/31/1995,Premier League,2016/2017,Goalkeeper,West Bromwich Albion,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Jack Stephens,27,759628800,1/27/1994,Premier League,2016/2017,Defender,Southampton,1469,755,714,England,17,9,8,0,0,0,1,1,0,0,0,7,4,3,23,10,13,1,0,0.06,0.06,0,0,0,0,1.41,64,86,1469,1469,0.06,295,207,97,15
Jack Wilshere,30,694224000,1/1/1992,Premier League,2016/2017,Midfielder,AFC Bournemouth,1949,967,982,England,29,14,15,0,0,0,2,1,1,0,0,9,5,4,42,16,26,4,0,0.09,0.09,0,0,0,0,1.94,46,67,487,975,0.18,380,161,-1,18
Jake Hesketh,25,827884800,3/27/1996,Premier League,2016/2017,Midfielder,Southampton,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Jake Livermore,32,627004800,11/14/1989,Premier League,2016/2017,Midfielder,West Bromwich Albion,2976,1576,1400,England,37,20,17,1,1,0,1,0,1,0,0,4,2,2,58,22,36,6,1,0.06,0.03,0.03,0.06,0,2976,1.75,51,80,425,2976,0.21,260,237,-1,12
Jakob Haugaard,29,704678400,5/1/1992,Premier League,2016/2017,Goalkeeper,Stoke City,0,0,0,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
James Collins,38,430444800,8/23/1983,Premier League,2016/2017,Defender,West Ham United,1653,817,836,Wales,22,11,11,2,0,2,0,0,0,0,0,6,5,1,26,10,16,3,0,0.11,0,0.11,0,0.22,827,1.42,64,75,551,0,0.16,156,388,98,9
James Husband,28,757555200,1/3/1994,Premier League,2016/2017,Defender,Middlesbrough,59,0,59,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4.58,20,59,0,0,0,-1,-1,-1,27
James McArthur,34,560563200,10/7/1987,Premier League,2016/2017,Midfielder,Crystal Palace,2010,1032,978,Scotland,29,16,13,5,4,1,3,1,2,0,0,6,4,2,37,16,21,5,0,0.36,0.13,0.22,0.35,0.09,402,1.66,54,69,402,670,0.22,86,113,-1,3
James McCarthy,31,658368000,11/12/1990,Premier League,2016/2017,Midfielder,Everton,613,382,231,Republic of Ireland,12,7,5,1,1,0,1,1,0,0,0,2,2,0,9,4,5,2,0,0.29,0.15,0.15,0.24,0,613,1.32,68,51,307,613,0.29,125,93,-1,10
James McClean,32,609206400,4/22/1989,Premier League,2016/2017,Midfielder,West Bromwich Albion,1464,736,728,Republic of Ireland,34,18,16,1,1,0,2,1,1,0,0,6,4,2,23,9,14,9,0,0.18,0.12,0.06,0.12,0,1464,1.41,64,43,163,732,0.55,213,126,-1,11
James Milner,36,505180800,1/4/1986,Premier League,2016/2017,Midfielder,Liverpool,3160,1694,1466,England,36,19,17,7,3,4,3,3,0,7,1,12,6,6,34,18,16,5,0,0.28,0.09,0.2,0.16,0.25,451,0.97,93,88,632,1053,0.14,93,159,-1,6
James Morrison,35,517363200,5/25/1986,Premier League,2016/2017,Midfielder,West Bromwich Albion,1738,917,821,Scotland,31,14,17,5,3,2,2,1,1,0,0,5,3,2,21,8,13,3,0,0.36,0.1,0.26,0.29,0.22,348,1.09,83,56,579,869,0.16,65,146,-1,4
James Tarkowski,29,722131200,11/19/1992,Premier League,2016/2017,Defender,Burnley,553,317,236,England,19,11,8,0,0,0,0,0,0,0,0,5,3,2,9,6,3,1,0,0,0,0,0,0,0,1.46,61,29,553,0,0.16,316,324,105,21
James Tomkins,32,607132800,3/29/1989,Premier League,2016/2017,Defender,Crystal Palace,1978,934,1044,England,24,11,13,3,2,1,0,0,0,0,0,6,4,2,33,14,19,4,0,0.14,0,0.14,0.19,0.09,659,1.5,60,82,495,0,0.18,130,394,115,6
James Ward-Prowse,27,783648000,11/1/1994,Premier League,2016/2017,Midfielder,Southampton,1884,976,908,England,30,15,15,4,2,2,4,3,1,0,0,11,5,6,25,12,13,4,0,0.38,0.19,0.19,0.18,0.2,471,1.19,75,63,471,471,0.19,100,68,-1,4
James Weir,26,807494400,8/4/1995,Premier League,2016/2017,Midfielder,Hull City,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Jamie Vardy,34,537321600,1/11/1987,Premier League,2016/2017,Forward,Leicester City,2808,1337,1471,England,35,17,18,13,9,4,5,3,2,0,0,7,6,1,55,19,36,3,1,0.58,0.16,0.42,0.61,0.24,216,1.76,51,80,702,562,0.13,32,87,-1,1
Jan Kirchhoff,31,654739200,10/1/1990,Premier League,2016/2017,Defender,Sunderland,435,323,112,Germany,7,5,2,0,0,0,0,0,0,0,0,0,0,0,10,8,2,1,0,0,0,0,0,0,0,2.07,44,62,435,0,0.21,287,267,163,16
Jan Vertonghen,34,546220800,4/24/1987,Premier League,2016/2017,Defender,Tottenham Hotspur,2897,1570,1327,Belgium,33,18,15,0,0,0,0,0,0,0,0,15,11,4,20,8,12,5,0,0,0,0,0,0,0,0.62,145,88,579,0,0.16,335,338,9,21
Jarrod Bowen,25,851040000,12/20/1996,Premier League,2016/2017,Forward,Hull City,176,72,104,England,7,1,6,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,3.07,29,25,0,0,0,-1,-1,-1,24
Jason Denayer,26,804297600,6/28/1995,Premier League,2016/2017,Defender,Sunderland,1880,973,907,Belgium,24,13,11,0,0,0,0,0,0,0,0,6,4,2,28,14,14,2,0,0,0,0,0,0,0,1.34,67,78,940,0,0.1,288,269,86,15
Jason Puncheon,35,520128000,6/26/1986,Premier League,2016/2017,Midfielder,Crystal Palace,3096,1520,1576,England,36,18,18,0,0,0,5,4,1,0,0,7,5,2,49,18,31,9,0,0.15,0.15,0,0,0,0,1.42,63,86,344,619,0.26,400,90,-1,22
Javier Manquillo Gaitán,27,768096000,5/5/1994,Premier League,2016/2017,Defender,Sunderland,1427,710,717,Spain,20,10,10,1,0,1,0,0,0,0,0,2,1,1,24,14,10,2,0,0.06,0,0.06,0,0.13,1427,1.51,59,71,714,0,0.13,200,258,116,8
Jay Fulton,27,765417600,4/4/1994,Premier League,2016/2017,Midfielder,Swansea City,693,244,449,Scotland,11,4,7,0,0,0,0,0,0,0,0,1,1,0,15,6,9,2,0,0,0,0,0,0,0,1.95,46,63,347,0,0.26,325,333,-1,18
Jay Rodriguez,32,617673600,7/29/1989,Premier League,2016/2017,Forward,Southampton,883,488,395,England,24,14,10,5,2,3,2,1,1,0,0,7,6,1,15,7,8,0,0,0.71,0.2,0.51,0.37,0.68,177,1.53,59,37,0,442,0,18,56,-1,3
Jeff Hendrick,29,696816000,1/31/1992,Premier League,2016/2017,Midfielder,Burnley,2695,1270,1425,Republic of Ireland,32,15,17,2,2,0,1,1,0,0,0,9,5,4,41,14,27,7,1,0.1,0.03,0.07,0.14,0,1348,1.37,66,84,337,2695,0.27,198,235,-1,6
Jeff Reine-Adelaide,24,884995200,1/17/1998,Premier League,2016/2017,Midfielder,Arsenal,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Jefferson Antonio Montero Vite,32,620611200,9/1/1989,Premier League,2016/2017,Midfielder,Swansea City,373,120,253,Ecuador,13,5,8,0,0,0,1,1,0,0,0,2,1,1,8,2,6,0,0,0.24,0.24,0,0,0,0,1.93,47,29,0,373,0,323,42,-1,13
Jeffrey Schlupp,29,725068800,12/23/1992,Premier League,2016/2017,Defender,Crystal Palace,1136,520,616,Ghana,19,7,12,0,0,0,0,0,0,0,0,5,4,1,16,4,12,0,0,0,0,0,0,0,0,1.27,71,60,0,0,0,306,285,74,17
Jeremain Lens,34,564710400,11/24/1987,Premier League,2016/2017,Midfielder,Sunderland,67,44,23,Netherlands,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.34,67,34,0,0,0,-1,-1,-1,17
Jérémy Pied,32,604195200,2/23/1989,Premier League,2016/2017,Defender,Southampton,126,36,90,France,4,3,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0.71,126,32,0,0,0,-1,-1,-1,18
Jermain Defoe,39,402796800,10/7/1982,Premier League,2016/2017,Forward,Sunderland,3323,1710,1613,England,37,19,18,15,8,7,2,1,1,5,0,6,4,2,59,32,27,1,0,0.46,0.05,0.41,0.42,0.39,222,1.6,56,90,3323,1662,0.03,33,216,-1,1
Jerome Sinclair,25,843177600,9/20/1996,Premier League,2016/2017,Forward,Watford,113,20,93,England,5,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.8,113,23,0,0,0,-1,-1,-1,25
Jesse Lingard,29,724377600,12/15/1992,Premier League,2016/2017,Midfielder,Manchester United,1367,807,560,England,25,13,12,1,0,1,2,1,1,0,0,10,5,5,12,6,6,3,0,0.2,0.13,0.07,0,0.16,1367,0.79,114,55,456,684,0.2,184,105,-1,15
Jesús Navas,36,501379200,11/21/1985,Premier League,2016/2017,Midfielder,Manchester City,1058,451,607,Spain,24,12,12,0,0,0,0,0,0,0,0,7,4,3,16,4,12,2,0,0,0,0,0,0,0,1.36,66,44,529,0,0.17,398,399,-1,22
Joe Allen,31,637372800,3/14/1990,Premier League,2016/2017,Midfielder,Stoke City,2936,1404,1532,Wales,36,18,18,6,5,1,2,2,0,0,0,10,7,3,47,16,31,9,0,0.25,0.06,0.18,0.32,0.06,489,1.44,62,82,326,1468,0.28,103,196,-1,3
Joe Gomez,24,864345600,5/23/1997,Premier League,2016/2017,Defender,Liverpool,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Joe Hart,34,545788800,4/19/1987,Premier League,2016/2017,Goalkeeper,Manchester City,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Joe Ledley,34,538358400,1/23/1987,Premier League,2016/2017,Midfielder,Crystal Palace,1162,593,569,Wales,18,9,9,1,0,1,0,0,0,0,0,2,1,1,24,13,11,1,0,0.08,0,0.08,0,0.16,1162,1.86,48,65,1162,0,0.08,183,401,-1,11
